date,open,high,low,close,volume
2021-07-27,96.1837,97.0832,95.3634,96.7004,4230389
2021-07-28,96.7004,96.8611,95.5612,95.7958,2067902
2021-07-29,95.7958,96.2043,95.6122,95.6723,3171308
2021-07-30,95.6723,96.3131,94.3377,94.5215,1560996
2021-08-02,94.5215,95.19,94.4491,94.4983,2282717
2021-08-03,94.4983,94.9462,93.6072,93.9699,1430963
2021-08-04,93.9699,94.77,92.8836,93.1897,2840135
2021-08-05,93.1897,93.537,92.0753,92.2173,4233005
2021-08-06,92.2173,92.2323,91.8397,92.0808,1722807
2021-08-09,92.0808,92.5323,91.1466,91.6149,1658431
2021-08-10,91.6149,92.4214,91.5563,91.8413,1893671
2021-08-11,91.8413,92.6747,91.7607,92.1931,4573786
2021-08-12,92.1931,92.601,91.6179,91.7753,3946469
2021-08-13,91.7753,92.4645,91.2731,92.0138,3987158
2021-08-16,92.0138,94.5208,91.9478,93.8735,3986957
2021-08-17,93.8735,95.9805,93.5376,95.5574,1717073
2021-08-18,95.5574,96.4853,95.5554,96.3333,2734795
2021-08-19,96.3333,97.3068,96.2984,96.7621,1575590
2021-08-20,96.7621,98.3484,96.7432,97.5485,4710009
2021-08-23,97.5485,97.8911,96.0323,96.1608,3777049
2021-08-24,96.1608,97.7721,96.149,97.2561,2735343
2021-08-25,97.2561,98.0547,97.1286,97.8652,1495015
2021-08-26,97.8652,99.2952,97.3416,99.0819,3084090
2021-08-27,99.0819,99.1706,98.1987,98.2941,2145784
2021-08-30,98.2941,98.9691,98.2585,98.5417,3995305
2021-08-31,98.5417,102.3204,98.2054,101.558,2676457
2021-09-01,101.558,102.1525,101.0092,101.2484,4387918
2021-09-02,101.2484,103.0537,100.9835,102.754,1071347
2021-09-03,102.754,102.8208,99.7218,100.1474,4732895
2021-09-06,100.1474,103.0624,99.7961,102.8446,4470955
2021-09-07,102.8446,103.5677,102.1663,102.7694,3124066
2021-09-08,102.7694,103.2203,100.4791,101.2228,1991358
2021-09-09,101.2228,105.2831,101.0737,104.792,2431444
2021-09-10,104.792,107.4302,104.6892,107.0078,1584692
2021-09-13,107.0078,108.2367,106.8468,108.0488,3309662
2021-09-14,108.0488,108.1517,106.196,106.3093,1614453
2021-09-15,106.3093,106.8849,106.1088,106.648,3063982
2021-09-16,106.648,107.04,106.6253,106.8896,3722858
2021-09-17,106.8896,107.2411,106.7543,106.9325,2972334
2021-09-20,106.9325,111.5121,106.2595,110.5862,1725993
2021-09-21,110.5862,111.4817,110.0942,111.1425,1373284
2021-09-22,111.1425,111.7516,110.3669,111.5374,4333834
2021-09-23,111.5374,113.0284,111.042,112.8233,2282785
2021-09-24,112.8233,113.2493,112.6915,113.2255,4208103
2021-09-27,113.2255,113.3396,113.0611,113.1302,4867933
2021-09-28,113.1302,113.2374,109.6136,109.691,4430288
2021-09-29,109.691,110.2884,108.9202,110.1245,1660482
2021-09-30,110.1245,113.1412,109.744,112.4513,2667557
2021-10-01,112.4513,112.4788,111.581,112.0529,1941784
2021-10-04,112.0529,114.1112,111.2765,113.8458,2187505
2021-10-05,113.8458,115.7027,113.0517,115.4999,2957011
2021-10-06,115.4999,116.8321,115.4691,116.6937,3610349
2021-10-07,116.6937,117.1556,115.2181,115.7637,3389780
2021-10-08,115.7637,116.3061,115.1982,115.5452,3779192
2021-10-11,115.5452,118.4611,114.8186,118.1158,3893666
2021-10-12,118.1158,118.3607,115.7976,116.5019,1549631
2021-10-13,116.5019,117.7681,116.0295,117.4398,1360421
2021-10-14,117.4398,117.755,115.6278,115.7723,2013533
2021-10-15,115.7723,117.7095,114.7112,117.4236,3717105
2021-10-18,117.4236,117.7667,116.6645,117.5721,3090527
2021-10-19,117.5721,117.8501,114.437,114.7082,4143823
2021-10-20,114.7082,116.9578,114.3197,116.7857,1468414
2021-10-21,116.7857,117.1658,115.5364,116.0323,3952925
2021-10-22,116.0323,116.5309,115.6316,116.405,4593466
2021-10-25,116.405,116.4761,116.0673,116.2455,1345035
2021-10-26,116.2455,116.3037,114.1351,114.8154,4744509
2021-10-27,114.8154,115.1931,113.7447,113.8369,3450703
2021-10-28,113.8369,114.5035,113.4467,113.898,2917478
2021-10-29,113.898,115.3492,112.8375,115.0941,4511739
2021-11-01,115.0941,115.8327,112.1673,112.373,3548295
2021-11-02,112.373,113.1531,111.6528,112.5635,2725206
2021-11-03,112.5635,112.921,110.2513,110.4456,2181436
2021-11-04,110.4456,111.3073,109.8214,111.1845,2563705
2021-11-05,111.1845,111.5115,110.9802,111.3015,4988138
2021-11-08,111.3015,112.3456,110.963,112.2835,3722912
2021-11-09,112.2835,113.3613,112.2028,113.0426,4588133
2021-11-10,113.0426,113.7268,112.8646,113.3548,2155633
2021-11-11,113.3548,113.4081,112.6634,113.0385,3625076
2021-11-12,113.0385,113.6247,109.7258,110.3802,2151198
2021-11-15,110.3802,110.7111,109.4012,109.526,4397635
2021-11-16,109.526,110.3083,108.9443,109.8297,2786200
2021-11-17,109.8297,110.4244,108.8194,108.8596,1160605
2021-11-18,108.8596,109.1184,107.1707,107.8092,1212103
2021-11-19,107.8092,108.1557,106.65,107.3892,1772165
2021-11-22,107.3892,107.5579,105.2112,105.6509,1017516
2021-11-23,105.6509,106.4247,105.1352,105.527,1169402
2021-11-24,105.527,105.7524,104.3546,104.8031,3367852
2021-11-25,104.8031,105.4629,104.6653,105.3831,2834242
2021-11-26,105.3831,106.4423,105.2386,105.883,2673473
2021-11-29,105.883,107.4236,105.4109,107.2813,3312068
2021-11-30,107.2813,107.8744,107.1317,107.8178,4654863
2021-12-01,107.8178,110.5788,107.7487,110.5482,2896674
2021-12-02,110.5482,112.399,110.4009,112.0201,2603135
2021-12-03,112.0201,112.8618,111.3078,112.4869,3538516
2021-12-06,112.4869,112.9896,109.5323,109.7337,2194685
2021-12-07,109.7337,112.8254,109.3114,112.3285,2673600
2021-12-08,112.3285,113.0259,112.2007,112.8421,3348600
2021-12-09,112.8421,113.88,112.3619,113.7257,3609732
2021-12-10,113.7257,113.7286,111.0468,112.2128,4847085
2021-12-13,112.2128,114.2294,111.9521,114.1876,3050956
2021-12-14,114.1876,114.2654,113.7995,114.1554,1983687
2021-12-15,114.1554,114.4593,112.5439,113.0346,2257802
2021-12-16,113.0346,113.707,112.8293,113.577,2950240
2021-12-17,113.577,115.7392,113.4245,114.8975,1691977
2021-12-20,114.8975,115.5846,111.5865,112.1986,3836703
2021-12-21,112.1986,112.8729,109.9552,111.2748,1614451
2021-12-22,111.2748,112.3521,110.4012,110.5935,2697882
2021-12-23,110.5935,111.9496,110.462,111.255,2243846
2021-12-24,111.255,111.4707,110.9031,111.4323,4026106
2021-12-27,111.4323,112.68,111.0321,112.3706,3100353
2021-12-28,112.3706,115.0568,111.9715,114.612,4206522
2021-12-29,114.612,115.2556,114.1922,114.3947,4961286
2021-12-30,114.3947,116.4991,114.2766,116.4379,2918872
2021-12-31,116.4379,116.8762,115.7709,115.979,2877307
2022-01-03,115.979,117.3855,115.6832,116.6549,1777548
2022-01-04,116.6549,119.4414,116.2879,118.3083,2960790
2022-01-05,118.3083,118.6993,115.8465,115.9614,3224692
2022-01-06,115.9614,116.0352,115.5611,115.6552,3596596
2022-01-07,115.6552,115.9822,113.9987,114.3017,4725576
2022-01-10,114.3017,115.2473,113.3713,115.1108,4377915
2022-01-11,115.1108,115.2522,114.6898,115.0365,1480664
2022-01-12,115.0365,115.4455,113.3326,113.3646,4401097
2022-01-13,113.3646,113.888,113.0175,113.8647,1034186
2022-01-14,113.8647,114.994,113.5674,114.9206,2355422
2022-01-17,114.9206,115.8099,114.2549,115.7229,3266095
2022-01-18,115.7229,116.551,115.635,116.1331,1029257
2022-01-19,116.1331,116.7538,113.5822,114.1521,4939066
2022-01-20,114.1521,115.8012,113.6241,114.6956,4045730
2022-01-21,114.6956,115.1875,114.0104,114.3371,3028465
2022-01-24,114.3371,114.7201,112.6623,112.7685,3929654
2022-01-25,112.7685,115.5561,112.6562,114.9938,4285880
2022-01-26,114.9938,115.5831,112.5694,112.7605,3935013
2022-01-27,112.7605,113.127,111.9928,112.1012,2301041
2022-01-28,112.1012,113.1,111.5297,112.8394,4911667
2022-01-31,112.8394,113.1267,111.7922,112.0347,2777894
2022-02-01,112.0347,113.4417,111.7936,112.6819,4290332
2022-02-02,112.6819,112.788,110.6944,111.3284,3628106
2022-02-03,111.3284,111.8996,109.9805,110.2954,4094882
2022-02-04,110.2954,110.9311,109.6552,110.6594,1934612
2022-02-07,110.6594,110.8654,110.3851,110.7463,4432501
2022-02-08,110.7463,111.6544,110.5639,111.4167,3442451
2022-02-09,111.4167,112.492,109.3607,110.07,3686451
2022-02-10,110.07,113.6652,109.2172,113.4813,2795887
2022-02-11,113.4813,113.5675,112.633,113.1369,2587760
2022-02-14,113.1369,114.2081,112.4606,113.969,2699553
2022-02-15,113.969,116.9022,113.8152,116.8219,4229726
2022-02-16,116.8219,117.1094,115.8619,116.6695,1241161
2022-02-17,116.6695,117.5319,116.0886,116.1695,2569476
2022-02-18,116.1695,119.0644,115.8966,118.5411,3219238
2022-02-21,118.5411,118.6252,116.7831,117.3523,1070675
2022-02-22,117.3523,118.1465,116.935,116.9433,3012444
2022-02-23,116.9433,116.9814,115.7147,116.5096,3163426
2022-02-24,116.5096,116.7343,114.0584,114.2973,4935969
2022-02-25,114.2973,115.5453,113.971,115.4195,3969271
2022-02-28,115.4195,115.8054,113.483,113.6418,2388062
2022-03-01,113.6418,114.4044,113.4656,114.2125,4497257
2022-03-02,114.2125,114.5856,113.7443,114.0294,4799738
2022-03-03,114.0294,114.228,113.1444,113.3616,4978806
2022-03-04,113.3616,115.1689,113.1536,114.4827,2275796
2022-03-07,114.4827,115.073,114.0468,114.96,4821397
2022-03-08,114.96,115.3402,111.5494,111.8996,1204994
2022-03-09,111.8996,112.3092,110.5614,110.6504,1984266
2022-03-10,110.6504,112.2824,110.1942,112.1725,3542253
2022-03-11,112.1725,114.0732,111.7639,113.6296,2538017
2022-03-14,113.6296,114.5381,113.3353,114.4367,1605938
2022-03-15,114.4367,115.924,114.4311,115.446,1006642
2022-03-16,115.446,116.0075,114.4798,115.2003,2640538
2022-03-17,115.2003,115.6714,114.7171,114.7612,2725308
2022-03-18,114.7612,117.4221,114.0742,116.3605,4453091
2022-03-21,116.3605,118.5813,116.0034,118.4474,3733033
2022-03-22,118.4474,118.9778,116.6648,116.8742,1765429
2022-03-23,116.8742,117.7789,116.7441,117.6905,1601816
2022-03-24,117.6905,118.3279,117.3106,117.9609,1614224
2022-03-25,117.9609,118.4336,114.2815,114.827,1442517
2022-03-28,114.827,115.6812,113.4216,113.4666,2122667
2022-03-29,113.4666,116.1991,113.2979,115.9596,4413477
2022-03-30,115.9596,115.9649,114.6258,114.7632,3227741
2022-03-31,114.7632,118.4705,114.2417,117.6305,2817829
2022-04-01,117.6305,118.0328,116.08,116.3777,1451869
2022-04-04,116.3777,118.4698,116.0333,118.1695,3402935
2022-04-05,118.1695,119.2823,117.3264,119.1199,2533339
2022-04-06,119.1199,119.7297,117.5762,118.3725,1076136
2022-04-07,118.3725,121.533,118.2517,120.8759,1591759
2022-04-08,120.8759,121.0398,120.3472,120.9417,3375322
2022-04-11,120.9417,121.5956,120.3115,121.5662,2059952
2022-04-12,121.5662,122.4403,121.064,121.4985,1016030
2022-04-13,121.4985,121.6848,121.4771,121.5638,2660186
2022-04-14,121.5638,121.6373,119.6752,120.0334,3144801
2022-04-15,120.0334,120.2789,118.0954,118.2805,4906836
2022-04-18,118.2805,118.7516,117.6531,118.1537,4344980
2022-04-19,118.1537,119.674,117.7543,119.6554,1740989
2022-04-20,119.6554,120.3804,119.0393,120.1981,3214163
2022-04-21,120.1981,121.8972,119.5999,121.8327,1599138
2022-04-22,121.8327,122.2978,121.5511,122.1991,2677089
2022-04-25,122.1991,122.866,121.8921,122.6188,4088867
2022-04-26,122.6188,122.7385,121.9429,122.0763,4558625
2022-04-27,122.0763,122.3113,119.7632,120.456,4679636
2022-04-28,120.456,121.5264,119.4361,120.9641,4435931
2022-04-29,120.9641,120.9782,118.2953,118.3099,2652003
2022-05-02,118.3099,121.3649,118.1225,120.081,3068077
2022-05-03,120.081,122.9311,119.8986,122.379,3797960
2022-05-04,122.379,122.5388,120.423,121.1146,4462290
2022-05-05,121.1146,123.9999,120.1917,123.8335,4952089
2022-05-06,123.8335,126.5362,123.7685,126.489,2508578
2022-05-09,126.489,128.7104,126.0583,127.0943,2538702
2022-05-10,127.0943,128.8092,126.8453,128.623,2636559
2022-05-11,128.623,130.093,128.4797,130.0769,4075671
2022-05-12,130.0769,130.8764,129.069,130.6543,1524434
2022-05-13,130.6543,132.2692,129.9005,131.7516,2891519
2022-05-16,131.7516,132.3031,131.3137,131.9371,4014018
2022-05-17,131.9371,132.1519,129.5611,129.8649,2818809
2022-05-18,129.8649,130.8769,129.4886,130.3514,2037759
2022-05-19,130.3514,131.4897,129.3302,130.5021,1936126
2022-05-20,130.5021,130.5561,130.1937,130.2083,2009745
2022-05-23,130.2083,131.1079,129.6296,130.6128,2419369
2022-05-24,130.6128,130.7637,128.3092,128.9514,4811996
2022-05-25,128.9514,130.2418,127.4608,128.3355,3971848
2022-05-26,128.3355,128.5452,127.5083,127.5279,3467024
2022-05-27,127.5279,128.0632,126.7582,127.1019,3096113
2022-05-30,127.1019,128.6686,126.9037,127.8831,3940517
